id,product_name,category,price,stock_quantity,description,brand,created_at
1,笔记本电脑,Electronics,5999.99,50,高性能笔记本电脑适合办公和游戏,联想,2024-01-01 09:00:00
2,无线鼠标,Electronics,99.99,200,人体工学设计无线鼠标,罗技,2024-01-01 10:00:00
3,机械键盘,Electronics,399.99,100,青轴机械键盘打字手感好,雷蛇,2024-01-01 11:00:00
4,智能手表,Electronics,1299.99,80,健康监测运动追踪智能手表,Apple,2024-01-02 09:00:00
5,蓝牙耳机,Electronics,699.99,150,降噪蓝牙耳机音质出众,索尼,2024-01-02 10:00:00
6,台灯,Home,159.99,300,LED护眼台灯可调节亮度,飞利浦,2024-01-03 09:00:00
7,咖啡机,Home,899.99,60,全自动咖啡机在家享受咖啡,德龙,2024-01-03 10:00:00
8,运动鞋,Clothing,499.99,120,舒适透气运动鞋适合跑步,Nike,2024-01-04 09:00:00
9,T恤,Clothing,99.99,500,纯棉T恤舒适百搭,优衣库,2024-01-04 10:00:00
10,牛仔裤,Clothing,299.99,200,修身牛仔裤时尚百搭,Levi's,2024-01-05 09:00:00
11,背包,Accessories,249.99,180,大容量旅行背包防水耐用,新秀丽,2024-01-05 10:00:00
12,保温杯,Accessories,79.99,400,304不锈钢保温杯保温效果好,膳魔师,2024-01-06 09:00:00
13,充电宝,Electronics,149.99,250,10000mAh移动电源充电快,小米,2024-01-06 10:00:00
14,数据线,Electronics,29.99,500,Type-C数据线快充充电,Anker,2024-01-07 09:00:00
15,手机支架,Electronics,39.99,300,桌面手机支架可调节角度,绿联,2024-01-07 10:00:00
